threshold_knob,input_dbfs,output_dbfs,gain_reduction_db
3,-48,-48.0109,0.0109119
3,-46,-46.0125,0.0125176
3,-44,-44.0152,0.0151564
3,-42,-42.0192,0.0191694
3,-40,-40.0253,0.0252663
3,-38,-38.0345,0.0345165
3,-36,-36.0485,0.0485177
3,-34,-34.0696,0.0696372
3,-32,-32.1013,0.101331
3,-30,-30.1485,0.148537
3,-28,-28.2181,0.218092
3,-26,-26.319,0.31904
3,-24,-24.4626,0.462581
3,-22,-22.6614,0.661398
3,-20,-20.9281,0.928109
3,-18,-19.2732,1.27315
3,-16,-17.7028,1.70279
3,-14,-16.218,2.21801
3,-12,-14.8149,2.8149
3,-10,-13.4858,3.48582
3,-8,-12.2211,4.22109
3,-6,-11.0106,5.01064
3,-4,-9.84542,5.84542
3,-2,-8.71672,6.71672
3,0,-7.61819,7.61819
3,2,-6.54602,8.54602
3,4,-5.49957,9.49957
3,6,-4.4823,10.4823
5,-48,-48.0191,0.0191192
5,-46,-46.0252,0.0251871
5,-44,-44.0344,0.0343915
5,-42,-42.0483,0.0483208
5,-40,-40.0693,0.0693268
5,-38,-38.1008,0.100845
5,-36,-36.1478,0.147781
5,-34,-34.2169,0.216926
5,-32,-32.3173,0.317259
5,-30,-30.4599,0.459902
5,-28,-28.6574,0.657431
5,-26,-26.9224,0.92235
5,-24,-25.265,1.26498
5,-22,-23.6914,1.69142
5,-20,-22.2024,2.20244
5,-18,-20.7938,2.79378
5,-16,-19.4573,3.45735
5,-14,-18.1828,4.18281
5,-12,-16.9592,4.95921
5,-10,-15.7756,5.77557
5,-8,-14.6218,6.62181
5,-6,-13.4891,7.48911
5,-4,-12.37,8.37004
5,-2,-11.2587,9.25871
5,0,-10.1512,10.1512
5,2,-9.04533,11.0453
5,4,-7.94132,11.9413
5,6,-6.84312,12.8431
7,-48,-48.0483,0.0482712
7,-46,-46.0692,0.069249
7,-44,-44.1007,0.100723
7,-42,-42.1476,0.147591
7,-40,-40.2166,0.216632
7,-38,-38.3168,0.31681
7,-36,-36.4592,0.459226
7,-34,-34.6564,0.656433
7,-32,-32.9209,0.920905
7,-30,-31.2629,1.26293
7,-28,-29.6885,1.68855
7,-26,-28.1985,2.19851
7,-24,-26.7885,2.78848
7,-22,-25.4502,3.45024
7,-20,-24.1733,4.17332
7,-18,-22.9464,4.9464
7,-16,-21.7582,5.75824
7,-14,-20.5983,6.59835
7,-12,-19.4572,7.45715
7,-10,-18.3261,8.32607
7,-8,-17.1976,9.1976
7,-6,-16.0654,10.0654
7,-4,-14.9243,10.9243
7,-2,-13.7702,11.7702
7,0,-12.6006,12.6006
7,2,-11.4148,13.4148
7,4,-10.2148,14.2148
7,6,-9.00573,15.0057
